Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2/18/2017 19:48,6.2,60.4,38,24.2,-6.6,-22.7,-5.3,295000000000,0.79
2/7/2017 17:37,27.4,14.8,54,,,,,20000000000,0.073
2/6/2017 6:09,10.4,131.6,33.5,,,,,66000000000,0.21
12/23/2016 3:29,21.3,49.3,42,29.7,-22.4,16.4,-10.5,38000000000,0.13
12/7/2016 4:51,34.5,126.6,,,,,,117000000000,0.35
11/29/2016 8:05,30.6,93.1,,,,,,31000000000,0.11
11/24/2016 14:10,15.2,80.3,30.6,17.4,9.1,-11.2,9.7,138000000000,0.4
11/3/2016 17:14,39.6,16.3,37,,,,,76000000000,0.24
10/1/2016 20:23,36.2,6.7,27.8,14.2,-10,3.9,-9.3,31000000000,0.11
9/22/2016 4:57,51.8,178.5,40,17.5,-2.5,-3.3,17,71000000000,0.22
9/14/2016 15:01,3.5,44.6,54,18.3,3.5,-16.2,7.7,76000000000,0.24
8/27/2016 21:45,56.9,162.2,42,,,,,142000000000,0.41
8/11/2016 5:59,43.7,53.8,34.3,14.9,-0.7,-11.4,9.6,184000000000,0.52
8/5/2016 18:02,46.4,171.6,32.4,,,,,121000000000,0.36
7/21/2016 0:48,7.8,1.6,37,,,,,45000000000,0.15
7/5/2016 1:24,1,48.6,38.2,25.1,-10.3,-2,-22.8,153000000000,0.44
6/27/2016 10:02,15.8,11.9,33.3,29.1,-29.1,1.5,0.7,458000000000,1.2
6/5/2016 6:12,17.4,138.3,28.7,14.5,6,-11.9,5.7,331000000000,0.87
6/2/2016 10:56,33.8,110.9,,,,,,172000000000,0.49
5/29/2016 12:14,10.2,48.8,32,,,,,69000000000,0.22
5/20/2016 11:59,32.8,15.1,30.6,20.8,5.4,-9.9,17.5,20000000000,0.073
5/16/2016 10:09,3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6,519000000000,1.3
5/13/2016 0:34,26.2,122.3,33,,,,,101000000000,0.31
4/24/2016 5:39,9.8,42.8,50,,,,,146000000000,0.42
4/18/2016 11:59,20.7,14.5,31.5,17.1,-3.5,2.2,-16.6,224000000000,0.62
4/12/2016 9:51,38.3,162.2,,,,,,20000000000,0.073
4/10/2016 14:57,22,149,35.2,15.1,4.7,-12.9,-6.4,655000000000,1.6
3/16/2016 23:54,49.2,6.3,42,13.3,-7.6,9.1,6,32000000000,0.11
3/3/2016 1:32,48,51,31.8,11.7,4.8,-7.1,7.9,58000000000,0.19
2/23/2016 3:59,32.3,67.2,44,17.9,-8.5,-1.6,-15.7,35000000000,0.12
2/21/2016 5:58,36.5,37.2,32,,,,,369000000000,0.96
2/19/2016 8:15,0.7,11.6,39.4,15.5,-14.9,-0.5,4.1,202000000000,0.56
2/13/2016 0:10,3.1,117.9,,,,,,51000000000,0.17
2/6/2016 13:55,30.4,25.5,31,15.6,2.7,14.5,5,6850000000000,13
1/27/2016 9:59,45.8,53.6,37,11.5,-10,-4.4,3.6,50000000000,0.16
1/21/2016 16:44,10.8,0.7,42.5,18.1,-3.8,-17.7,-1.2,46000000000,0.15
12/30/2015 13:07,33.8,160.7,39,,,,,22000000000,0.079
