,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Sighting Year,Sighting Month
227,2017-02-18 19:48:00,6.2,60.4,38.0,24.2,-6.6,-22.7,-5.3,295000000000,0.79,2017,February
230,2016-12-23 03:29:00,21.3,49.3,42.0,29.7,-22.4,16.4,-10.5,38000000000,0.13,2016,December
233,2016-11-24 14:10:00,15.2,80.3,30.6,17.4,9.1,-11.2,9.7,138000000000,0.4,2016,November
235,2016-10-01 20:23:00,36.2,6.7,27.8,14.2,-10.0,3.9,-9.3,31000000000,0.11,2016,October
236,2016-09-22 04:57:00,51.8,178.5,40.0,17.5,-2.5,-3.3,17.0,71000000000,0.22,2016,September
237,2016-09-14 15:01:00,3.5,44.6,54.0,18.3,3.5,-16.2,7.7,76000000000,0.24,2016,September
239,2016-08-11 05:59:00,43.7,53.8,34.3,14.9,-0.7,-11.4,9.6,184000000000,0.52,2016,August
242,2016-07-05 01:24:00,1.0,48.6,38.2,25.1,-10.3,-2.0,-22.8,153000000000,0.44,2016,July
243,2016-06-27 10:02:00,15.8,11.9,33.3,29.1,-29.1,1.5,0.7,458000000000,1.2,2016,June
244,2016-06-05 06:12:00,17.4,138.3,28.7,14.5,6.0,-11.9,5.7,331000000000,0.87,2016,June
247,2016-05-20 11:59:00,32.8,15.1,30.6,20.8,5.4,-9.9,17.5,20000000000,0.07,2016,May
248,2016-05-16 10:09:00,3.2,6.6,41.7,12.2,-6.7,-3.3,-9.6,519000000000,1.3,2016,May
251,2016-04-18 11:59:00,20.7,14.5,31.5,17.1,-3.5,2.2,-16.6,224000000000,0.62,2016,April
253,2016-04-10 14:57:00,22.0,149.0,35.2,15.1,4.7,-12.9,-6.4,655000000000,1.6,2016,April
254,2016-03-16 23:54:00,49.2,6.3,42.0,13.3,-7.6,9.1,6.0,32000000000,0.11,2016,March
255,2016-03-03 01:32:00,48.0,51.0,31.8,11.7,4.8,-7.1,7.9,58000000000,0.19,2016,March
256,2016-02-23 03:59:00,32.3,67.2,44.0,17.9,-8.5,-1.6,-15.7,35000000000,0.12,2016,February
258,2016-02-19 08:15:00,0.7,11.6,39.4,15.5,-14.9,-0.5,4.1,202000000000,0.56,2016,February
260,2016-02-06 13:55:00,30.4,25.5,31.0,15.6,2.7,14.5,5.0,6850000000000,13.0,2016,February
261,2016-01-27 09:59:00,45.8,53.6,37.0,11.5,-10.0,-4.4,3.6,50000000000,0.16,2016,January
262,2016-01-21 16:44:00,10.8,0.7,42.5,18.1,-3.8,-17.7,-1.2,46000000000,0.15,2016,January
264,2015-12-21 02:32:00,5.9,143.0,42.2,12.1,6.4,-10.0,2.5,83000000000,0.26,2015,December
270,2015-10-13 12:23:00,8.0,52.5,38.9,12.9,-6.6,3.8,10.4,23000000000,0.08,2015,October
272,2015-10-10 09:57:00,51.0,21.1,51.8,11.8,-1.3,-5.1,10.6,36000000000,0.12,2015,October
276,2015-09-08 13:46:00,6.3,29.9,44.4,16.1,-11.5,-11.3,-0.9,20000000000,0.07,2015,September
277,2015-09-07 01:41:00,14.5,98.9,29.3,21.0,16.8,-12.0,-3.8,1800000000000,3.9,2015,September
278,2015-09-02 20:10:00,39.1,40.2,39.8,24.1,10.3,-12.2,-18.0,37000000000,0.13,2015,September
280,2015-07-19 07:06:00,20.6,87.6,22.0,17.8,9.4,13.0,7.8,23000000000,0.08,2015,July
282,2015-07-04 01:40:00,38.6,103.1,46.3,49.0,0.9,-40.4,-27.7,56000000000,0.18,2015,July
283,2015-06-14 03:03:00,6.3,124.1,32.4,31.9,-4.7,-17.8,-26.0,71000000000,0.22,2015,June
289,2015-05-10 07:45:00,46.3,179.3,29.6,12.2,11.2,0.9,4.7,143000000000,0.42,2015,May
290,2015-05-07 20:34:00,21.5,29.3,37.0,17.3,-16.2,-5.8,1.4,52000000000,0.17,2015,May
291,2015-04-30 10:21:00,48.7,139.1,26.7,12.9,12.2,-4.2,0.9,105000000000,0.32,2015,April
292,2015-04-21 01:42:00,37.7,39.6,37.4,21.3,-15.3,12.8,7.4,88000000000,0.27,2015,April
294,2015-04-08 04:06:00,25.5,51.5,36.3,19.2,8.0,-15.6,-7.9,173000000000,0.49,2015,April
296,2015-03-30 21:33:00,36.1,5.5,33.1,13.8,-13.7,-1.7,0.8,64000000000,0.2,2015,March
