Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
2018-02-08 22:21:00.000000,42.9,179.7,43.5,,,,,259000000000,0.7,2018
2018-02-01 12:21:00.000000,19.4,104.3,37.0,16.5,8.1,-8.4,-11.7,190000000000,0.53,2018
2018-01-22 22:06:00.000000,14.0,17.4,,,,,,32000000000,0.11,2018
2018-01-15 02:18:00.000000,52.0,57.2,43.6,23.7,18.6,-12.1,8.4,199000000000,0.56,2018
2018-01-06 21:24:00.000000,55.8,52.5,26.0,21.0,0.8,2.2,-20.9,28000000000,0.1,2018
2018-01-06 18:24:00.000000,39.5,12.8,26.0,,,,,36000000000,0.12,2018
2017-12-31 09:36:00.000000,63.5,101.3,64.5,,,,,44000000000,0.15,2017
2017-12-29 12:47:00.000000,14.6,49.5,38.0,,,,,110000000000,0.33,2017
2017-12-28 17:45:00.000000,,,,,,,,114000000000,0.34,2017
2017-12-15 13:14:00.000000,60.2,170.0,20.0,31.4,27.8,-4.7,-13.9,3110000000000,6.4,2017
2017-11-19 04:17:00.000000,24.2,135.0,33.3,11.4,6.7,-3.4,8.6,28000000000,0.1,2017
2017-10-26 22:05:00.000000,21.3,177.6,42.5,,,,,558000000000,1.4,2017
2017-10-23 15:31:00.000000,28.8,44.6,35.4,16.7,-5.7,-10.7,-11.5,24000000000,0.09,2017
2017-10-15 04:33:00.000000,65.2,128.2,24.1,15.9,9.5,-8.3,9.7,33000000000,0.11,2017
2017-10-09 12:51:00.000000,18.3,64.1,,,,,,30000000000,0.1,2017
2017-10-04 12:07:00.000000,28.1,99.4,37.0,14.6,-8.5,-9.0,7.8,192000000000,0.54,2017
2017-09-05 05:11:00.000000,49.3,116.9,36.0,14.7,12.7,-6.1,-4.2,38000000000,0.13,2017
2017-07-31 22:01:00.000000,24.7,118.5,,,,,,58000000000,0.19,2017
2017-07-23 06:12:00.000000,6.6,69.7,38.0,17.2,-0.4,8.7,-14.8,35000000000,0.12,2017
2017-07-13 09:30:00.000000,23.1,60.7,35.0,13.7,-10.0,-6.5,-6.8,73000000000,0.23,2017
2017-06-30 14:26:00.000000,34.3,134.5,20.0,15.2,10.9,-9.7,4.2,94000000000,0.29,2017
2017-06-23 20:21:00.000000,57.0,143.7,35.1,24.3,17.7,13.1,-10.3,184000000000,0.52,2017
2017-06-20 13:41:00.000000,54.2,133.0,33.3,13.6,8.7,-5.7,8.8,636000000000,1.6,2017
